ID,Name,Latitude,Longitude
PAIM,"Utopia Creek, Indian Mountain LRRS Airport",66.0,-153.7
PFWS,South Naknek Nr 2 Airport,58.7021,-157.0026
PAGA,"Galena, Edward G. Pitka Sr. Airport",64.73333,-156.93333
PAPO,"Point Hope, Point Hope Airport",68.35,-166.8
PAUN,Unalakleet,63.88333,-160.8
PFCL,Clarks Point Airport,58.8337,-158.5294
PAGB,"Galbraith Lake, Galbraith Lake Airport",68.48333,-149.48333
PALP,"Deadhorse, Alpine Airstrip",70.33333,-150.93333
PALU,"Cape Lisburne, Cape Lisburne LRRS Airport",68.88333,-166.1
PACD,"Cold Bay, Cold Bay Airport",55.22083,-162.72778
PAQH,Quinhagak Airport,59.7551,-161.8454
PPIZ,"Point Lay, Point Lay LRRS Airport",69.71667,-163.0
PALJ,"Port Alsworth, Port Alsworth Airport",60.2,-154.31667
PAPM,Platinum,59.01667,-161.81667
PAQT,"Nuiqsut, Nuiqsut Airport",70.21,-151.00556
PACV,"Cordova, Merle K (Mudhole) Smith Airport",60.49167,-145.47778
PAGK,"Gulkana, Gulkana Airport",62.15,-145.45
PASK,Selawik,66.61667,-160.0
PASO,"Seldovia, Seldovia Airport",59.45,-151.7
PAVD,Valdez 2,61.13333,-146.26667
PASV,Sparrevohn Airways Facilities Sector,61.1,-155.56667
PASY,"Shemya, Eareckson AFB",52.71667,174.11667
PATC,Tin City Airways Facilities Sector,65.56667,-167.91667
PATL,"Takotna, Tatalina LRRS Airport",62.9,-155.98333
PATO,"Portage, Portage Glacier",60.78333,-148.83333
PAVL,"Kivalina, Kivalina Airport",67.73333,-164.55
PAWS,"Wasilla, Wasilla Airport",61.57194,-149.54056
PFKO,Kotlik Airport,63.03058,-163.53264
PAMC,"McGrath, McGrath Airport",62.96667,-155.61667
PARY,Ruby,64.7272,-155.4697
PAMD,Middleton Island Airport,59.4423,-146.3166
PAPH,"Port Heiden, Port Heiden Airport",56.95,-158.63333
PAGS,"Gustavus, Gustavus Airport",58.41667,-135.7
PAWG,Wrangell,56.48333,-132.36667
PAHL,"Huslia, Huslia Airport",65.6975,-156.35111
PAWN,"Noatak, Noatak Airport",67.56667,-162.98333
PAMH,"Minchumina, Minchumina Airport",63.88056,-152.30056
PAPG,Petersburg,56.8017,-132.9453
PAYA,Yakutat,59.51667,-139.66667
PACM,Scammon Bay,61.8453,-165.5713
PADM,Marshall,61.8643,-162.0261
PAFS,Nikolai,63.019,-154.358
PAHC,Holy Cross,62.1873,-159.77657
PAIG,Igiugig,59.32395,-155.90235
PADK,"Adak Island, Adak Airport",51.87778,-176.64583
PAJZ,Koliganek,59.727,-157.259
PALG,Kalskag,61.5364,-160.3414
PADQ,"Kodiak, Kodiak Airport",57.75,-152.5
PAMB,Manokotak,58.9902,-159.0499
PAMK,St Michael Airport,63.49006,-162.11039
PANW,New Stuyahok,59.45,-157.328
PAOU,Nelson Lagoon,56.008,-161.16
PARS,Russian Mission,61.775,-161.3194
PANU,Nulato Airport,64.72933,-158.07422
PATQ,Atqasuk,70.4673,-157.4357
PAHN,Haines - Haines Airport,59.2429,-135.5114
PAVC,King Cove,55.116,-162.266
PAHO,"Homer, Homer Airport",59.65,-151.48333
PAMO,Mountain Village,62.0953,-163.6819
PAGN,Angoon,57.5,-134.58333
PFSH,Shaktoolik Airport,64.3711,-161.224
PFNO,Noorvik,66.8175,-161.0223
PAGH,Shungnak Airport,66.8881,-157.1624
PADL,"Dillingham, Dillingham Airport",59.05,-158.51667
PAMR,"Anchorage, Merrill Field Airport",61.21667,-149.85
PAKN,"King Salmon, King Salmon Airport",58.67667,-156.64917
PAKP,"Anaktuvuk Pass, Anaktuvuk Pass Airport",68.13361,-151.74333
PAKW,Klawock - Klawock Airport,55.5839,-133.067
PASC,"Deadhorse, Deadhorse Airport",70.2,-148.46667
PAAD,Point Thomson Airstrip,70.136,-146.2901
PANC,"Anchorage, Ted Stevens Anchorage International Airport",61.17444,-149.99611
PASD,Sand Point,55.31667,-160.51667
PFZK,Akiachak Airport,60.91381,-161.49333
PANI,"Aniak, Aniak Airport",61.58139,-159.54278
PANV,"Anvik, Anvik Airport",62.64833,-160.18972
PADU,"Unalaska, Unalaska Airport",53.9,-166.53333
PAGY,Skagway,59.4544,-135.3263
PAEG,"Eagle, Eagle Airport",64.77639,-141.15083
PARC,"Arctic Village, Arctic Village Airport",68.11444,-145.57917
PAMY,"Mekoryuk, Mekoryuk Airport",60.36667,-166.26667
PASI,Sitka - Sitka Airport,57.048,-135.3647
PAIL,"Iliamna, Iliamna Airport",59.75,-154.9
PASL,Sleetmute,61.69735,-157.16712
PASN,"St. Paul Island, St. Paul Island Airport",57.16667,-170.21667
PAEN,"Kenai, Kenai Municipal Airport",60.57306,-151.245
PAIN,"McKinley Park, McKinley National Park Airport",63.73333,-148.91667
PANN,Nenana Municipal Airport,64.54796,-149.08398
PAIW,Wales,65.6226,-168.0949
PATE,Teller,65.2404,-166.3393
KSXS,SCHELL AHP,31.35,-85.85
KBFM,"Mobile, Mobile Downtown Airport",30.61389,-88.06333
KSCD,Merkel Field Sylacauga Municipal Airport,33.1718,-86.3055
KBHM,"Birmingham, Birmingham International Airport",33.56556,-86.745
KTCL,Tuscaloosa Regional Airport,33.21215,-87.61554
K1R8,Bay Minette Municipal Airport,30.87033,-87.81933
KTOI,"Troy, Troy Municipal Airport",31.86056,-86.01222
KOZR,Cairns Army Air Field / Ozark,31.27672,-85.71099
K0J4,"Florala, Florala Municipal Airport",31.0425,-86.31167
KLOR,"Fort Rucker, Lowe Army Heliport",31.35889,-85.74833
KGAD,"Gadsden, Gadsden Municipal Airport",33.96667,-86.08333
KDYA,Demopolis Municipal Airport,32.4638,-87.9541
K8A0,"Albertville, Albertville Municipal Airport",34.22889,-86.25556
KASN,Talladega Municipal Airport,33.5695,-86.0512
KCMD,Cullman Regional Folsom Field,34.2687,-86.858
KMDQ,"Huntsville, Madison County Executive Airport",34.86139,-86.55722
KHUA,Redstone Airfield,34.6786,-86.6847
KJKA,Jack Edwards Airport,30.2896,-87.6718
KPRN,Mac Crenshaw Memorial Airport,31.8457,-86.6107
K79J,"Andalusia, Andalusia-Opp Municipal Airport",31.3,-86.38333
KGZH,"Evergreen, Middleton Field",31.41889,-87.04806
KMGM,"Montgomery, Dannelly Field",32.30028,-86.40611
K4A9,"Fort Payne, Isbell Field Airport",34.47361,-85.72139
KCQF,Sonny Callahan Airport,30.461,-87.877
KHEY,Hanchey AHP / Ozark,31.35,-85.66667
K4A6,Scottsboro Municipal Airport,34.68871,-86.00593
K9A4,Lawrence County Airport,34.65939,-87.34883
KJFX,Jasper Walker County Airport & Bevill Field,33.902,-87.31417
KDCU,"Decatur, Pryor Field",34.65806,-86.94333
KMOB,"Mobile, Mobile Regional Airport",30.68833,-88.24556
KDHN,"Dothan, Dothan Regional Airport",31.32139,-85.44972
KHSV,"Huntsville, Huntsville International / Jones Field",34.64361,-86.78556
KMSL,"Muscle Shoals, North West Alabama Regional Airport",34.74389,-87.59944
KANB,Anniston Metro Airport,33.59045,-85.84789
K1M4,"Haleyville, Posey Field Airport",34.28028,-87.60028
KEKY,Bessemer Airport,33.3126,-86.9263
KMXF,Maxwell Air Force Base / Montgomery,32.38333,-86.36667
KEET,"Alabaster, Shelby County Airport",33.17833,-86.78167
KSEM,Craig Field / Selma,32.35,-86.98333
KAUO,Auburn-Opelika Airport,32.61667,-85.43333
KALX,"Alexander City, Thomas C Russell Field Airport",32.91472,-85.96278
KPLR,St Clair County Airport,33.5588,-86.2491
K1A9,Prattville - Grouby Field,32.4387,-86.5127
KJBR,"Jonesboro, Jonesboro Municipal Airport",35.83722,-90.64306
KSUZ,Saline County Regional Airport,34.59039,-92.47944
KFLP,"Flippin, Marion County Regional Airport",36.3,-92.58333
KBPK,Baxter County Airport,36.37056,-92.47194
KCXW,Conway - Cantrell Field,35.0199,-92.5551
KFSM,Fort Smith Regional Airport,35.3335,-94.36524
KLIT,"Little Rock, Adams Field",34.72667,-92.23611
KPBF,"Pine Bluff, Grider Field Airport",34.175,-91.93472
KTXK,"Texarkana, Texarkana Regional-Webb Field",33.45611,-93.9875
KLLQ,"Monticello, Monticello Municipal Airport/Ellis Field",33.63833,-91.75111
KBVX,"Batesville, Batesville Regional Airport",35.73333,-91.65
KFYV,"Fayetteville, Drake Field",36.01028,-94.16778
KLRF,Little Rock Air Force Base,34.91667,-92.15
KAGO,Ralph C Weiser Field Airport,33.22747,-93.217
KCDH,Camden / Harrell Field,33.61667,-92.76667
KVBT,"Bentonville, Bentonville Municipal Airport/Louise M Thaden Field",36.35,-94.21667
KDRP,Delta Regional Airport,35.12005,-90.8265
K4M3,Carlisle Municipal Airport,34.80822,-91.71211
KORK,North Little Rock Municipal Airport,34.83314,-92.25414
KCCA,Clinton Memorial Airfield,35.598,-92.4516
KXNA,Northwest Arkansas Regional Airport,36.28977,-94.31145
KADF,Dexter B Florence Memorial Field,34.0998,-93.0661
KHKA,"Blytheville, Blytheville Municipal Airport",35.93889,-89.8325
KROG,Rogers - Rogers Executive Airport - Carter Field,36.36667,-94.1
K4M9,Corning Municipal Airport,36.404,-90.648
KDEQ,"De Queen, J Lynn Helms Sevier County Airport",34.04694,-94.39944
KHOT,"Hot Springs, Memorial Field Airport",34.47806,-93.09611
KRUE,Russelville Municipal Airport,35.25737,-93.09494
KHRO,"Harrison, Boone County Airport",36.26167,-93.15472
KMEZ,"Mena, Mena Intermountain Municipal Airport",34.54528,-94.2025
KSGT,"Stuttgart, Stuttgart Municipal Airport",34.6,-91.56667
KMWT,Mount Ida,34.55,-93.58333
KM19,"Newport, Newport Municipal Airport",35.6375,-91.17611
KARG,Walnut Ridge Regional Airport,36.12562,-90.92148
KASG,Springdale Municipal,36.18333,-94.11667
KSLG,"Siloam Springs, Smith Field Airport",36.2,-94.48333
KELD,South Arkansas Regional Airport,33.22075,-92.814
KSRC,Searcy Municipal Airport,35.21349,-91.73928
KAWM,"West Memphis, West Memphis Municipal Airport",35.13333,-90.23333
NSTU,"Pago Pago, AS, Samoa",-14.331,-170.7105
KCHD,"Chandler, Chandler Municipal Airport",33.26917,-111.81111
KBXK,Buckeye Municipal Airport,33.4204,-112.6862
KALK,Pioneer Airfield,31.60564,-110.4281
KRYN,Tucson Ryan Field Airport,32.1422,-111.1746
KNYL,"Yuma, Marine Corps Air Station",32.65944,-114.59306
KP33,Cochise County Airport,32.24541,-109.89463
KOLS,"Nogales, Nogales International Airport",31.42083,-110.84583
KPGA,"Page, Page Municipal Airport",36.92056,-111.44806
KPHX,"Phoenix, Phoenix Sky Harbor International Airport",33.427799,-112.003465
KPAN,Payson Airport,34.2568364,-111.3392558
KPRC,"Prescott, Love Field",34.64917,-112.42222
KCMR,Williams/Clark Memorial Airport,35.3054722,-112.1943889
KJTC,Springerville Municipal Airport,34.1294,-109.3109
KLGF,Laguna Army Airfield,32.86459,-114.39298
KRQE,"Window Rock, Window Rock Airport",35.65,-109.06667
KSAD,"Safford, Safford Municipal Airport",32.85722,-109.63556
KSDL,Scottsdale Airport,33.61235,-111.92316
KSJN,"St. Johns, St. Johns Industrial Airpark",34.51833,-109.37917
KA39,Ak-Chin Regional Airport,32.99,-111.91833
KSOW,"Show Low, Show Low Regional Airport",34.26528,-110.00556
KAZC,"Colorado City, Colorado City Municipal Airport",36.95,-113.0
KTYL,Taylor Airport,34.45272,-110.11503
KP52,Cottonwood Airport,34.73006,-112.03514
KMZJ,Pinal Airpark,32.50983,-111.32533
KDMA,Davis-Monthan Air Force Base,32.16667,-110.88333
KDUG,Bisbee Douglas International Airport,31.45838,-109.60676
KDVT,"Phoenix, Phoenix-Deer Valley Municipal Airport",33.69026,-112.06618
KTUS,"Tucson, Tucson International Airport",32.13153,-110.95635
KHII,Havasu City Airport,34.56595,-114.35224
KFFZ,Mesa / Falcon Field,33.46667,-111.73333
KFHU,"Fort Huachuca, Libby AAF Ft Huachuca",31.58333,-110.33333
KFLG,Flagstaff Pulliam Airport,35.14433,-111.66637
KGXF,Gila Bend Air Force Auxiliary Field,32.8875,-112.72
KGCN,Grand Canyon National Park Airport,35.94582,-112.15538
KGEU,"Glendale, Glendale Municipal Airport",33.52722,-112.29528
KE77,San Manuel Airport,32.63644,-110.64728
KGYR,Goodyear Municipal,33.41667,-112.38333
KIFP,"Bullhead City, Laughlin/Bullhead International Airport",35.1575,-114.55944
KIGM,"Kingman, Kingman Airport",35.25778,-113.93306
KINW,"Winslow, Winslow Municipal Airport",35.02806,-110.72083
KIWA,Phoenix-Mesa Gateway Airport,33.31667,-111.65
KSEZ,Sedona Airport,34.85,-111.78333
KLUF,Luke Air Force Base / Phoenix,33.53333,-112.38333
KAVQ,Tucson Marana Regional Airport,32.4096,-111.2184
CYXX,Abbotsford International Airport,49.03333,-122.36667
CYYJ,Victoria International Airport,48.64171,-123.43331
CYVR,Vancouver International Airport,49.18333,-123.16667
CWLM,Victoria Automatic Weather Reporting System,48.41667,-123.31667
CWYJ,Victoria University,48.45701,-123.30474
CYQQ,"Comox, B. C.",49.71667,-124.9
CWZL,Cumshewa Island Meteorological Aeronautical Presentation System,53.03333,-131.6
CWWA,W Vancouver Automatic Weather Reporting System,49.35,-123.18333
CYDQ,Dawson Creek Airport,55.75,-120.18333
CWKX,Dease Lake Coastal Station,58.4286,-130.01058
CWEB,"Estevan Point, B. C.",49.38333,-126.55
CWMM,P. Meadows Coastal Station AWRS,49.20833,-122.68995
CWEL,Entrance Island Automatic Weather Reporting System,49.21667,-123.8
CWQK,Race Rocks Automatic Weather Reporting System,48.3,-123.53333
CWEK,Grey Islet Meteorological Aeronautical Presentation System,54.58333,-130.7
CWRO,Rose Spit Meteorological Aeronautical Presentation System,54.16081,-131.66043
CWPF,"Esquimalt Harbour, B. C.",48.43333,-123.43333
CWZA,Agassiz Automated Reporting Station,49.25,-121.76667
CWLP,Herbert Island Meteorological Aeronautical Presentation System,50.93333,-127.63333
CWVF,"Sand Heads CS, B. C.",49.1,-123.3
CWHL,Holland Rock Automatic Weather Reporting System,54.16667,-130.36667
CWEZ,Saturna Island Meteorological Aeronautical Presentation System,48.78333,-123.05
CWSP,Sheringham Automatic Weather Reporting System,48.38333,-123.91667
CWGT,Sisters Island Automatic Weather Reporting System,49.48333,-124.43333
CWRU,Solander Island Meteorological Aeronautical Presentation System,50.11667,-127.93333
CWSK,"Squamish Airport, B. C",49.78333,-123.16667
CWWL,Bonilla Island Meteorological Aeronautical Presentation S,53.49264,-130.63847
CWQS,"Kindakun Rocks, B. C.",53.31667,-132.75
CWGW,Sparwood Automatic Weather Reporting System,49.75,-114.9
CWJR,Creston Automatic Weather Reporting System,49.03982,-116.48254
CWJV,"Vernon, B. C.",50.23333,-119.3
CWPZ,"Burns Lake CS , B. C.",54.38333,-125.95
CWNM,Nelson Automatic Weather Reporting System,49.5,-117.3
CWNP,Nakusp Automatic Weather Reporting System,50.26667,-117.81667
CWPR,Princeton Automatic Weather Reporting System,49.4684,-120.5143
CWSL,Salmon Arm Automatic Weather Reporting System,50.7,-119.28333
CWJU,"Langara, B. C.",54.25,-133.05
CWUS,Summerland Automatic Weather Reporting System,49.56256,-119.64869
CWWK,White Rock Automatic Weather Reporting System,49.01667,-122.78333
CWYL,Yoho Park Automatic Weather Reporting System,51.45,-116.33333
CWYY,Osoyoos Automatic Weather Reporting System,49.02827,-119.44099
CWZV,Cape St. James,51.93602,-131.0158
CWLC,Lucy Island,54.29602,-130.60793
CYZY,"Mackenzie, B. C.",55.3,-123.13333
CWME,Cathedral Point Meteorological Aeronautical Presentation System,52.18333,-127.46667
CWKH,Malahat Automatic Weather Reporting System,48.56784,-123.54211
KGOO,Nevada County Air Park,39.224028,-121.003083
KMAE,Madera Municipal Airport,36.9851,-120.11064
KMCC,"Sacramento, McClellan Airfield Airport",38.66667,-121.4
KMCE,Merced Regional Airport,37.28306,-120.50778
KMER,Merced / Castle Air Force Base,37.36667,-120.56667
KMHR,Sacramento Mather Airport,38.55996,-121.28397
KMHS,Mount Shasta,41.31494,-122.31702
KMHV,Mojave,35.06667,-118.15
KVCV,"Victorville, Southern California Logistics Airport",34.59722,-117.38278
KMMH,Mammoth Yosemite Airport,37.6241,-118.8423
KMOD,Modesto City-County Airport - Harry Sham Field,37.62549,-120.9549
KMRY,Monterey Regional Airport,36.59047,-121.84875
KGXA,Gray Butte Field Airport,34.5666,-117.6704
KMYF,"San Diego, Montgomery Field",32.81444,-117.13639
KMYV,"Marysville, Yuba County Airport",39.09778,-121.56972
KNFG,"Oceanside, Camp Pendleton, Marine Corps Air Station",33.30472,-117.35389
KNID,"China Lake, Naval Air Facility",35.68639,-117.69
KWHP,"Los Angeles, Whiteman Airport",34.25,-118.4
KNJK,"El Centro, Naval Air Facility",32.825,-115.66056
KNKX,"San Diego, Miramar MCAS/Mitscher Field Airport",32.86833,-117.1425
KNLC,Lemoore Naval Air Station - Reeves Field,36.30244,-119.93968
KNRS,Imperial Beach Naval Outlying Field - Ream Field,32.56302,-117.11091
KNSI,San Nicolas Island Naval Outlying Field,33.23379,-119.45588
KNTD,"Point Mugu, Naval Air Warfare Center",34.12389,-119.12167
KNUC,San Clemente Island NALF,33.0218,-118.58266
KNUQ,"Mountain View, Moffett Field",37.40583,-122.04806
KNXP,Twentynine Palms SELF Airport,34.29401,-116.14717
KNZY,"San Diego, North Island, Naval Air Station",32.69083,-117.20889
KOAK,San Francisco Bay Oakland International Airport,37.72126,-122.22115
KOAR,FORT ORD/FRITZSCHE,36.68,-121.77
KOKB,"Oceanside, Oceanside Municipal Airport",33.21806,-117.35139
KONT,Ontario International Airport,34.05316,-117.57685
KCPU,San Andreas Calaveras County Airport,38.1461,-120.6482
KOVE,Oroville Municipal Airport,39.49436,-121.62223
KOXR,"Oxnard, Oxnard Airport",34.20056,-119.20306
KHAF,Half Moon Bay Airport,37.5136,-122.4996
KTSP,Tehachapi Municipal Airport,35.135,-118.4392
KPAO,Palo Alto Airport,37.46667,-122.11667
KCVH,"Hollister, CA",36.8933,-121.4103
KO69,Petaluma Municipal Airport,38.2578,-122.6053
KL18,Fallbrook Community Airpark,33.3542,-117.2509
KPMD,"Palmdale, Palmdale Production Flight Plant",34.62972,-118.08139
KPOC,Brackett Field Airport,34.09282,-117.77937
KPRB,Paso Robles Municipal Airport,35.66941,-120.62912
KE16,South County Airport of Santa Clara County,37.0815861,-121.5968056
KPSP,Palm Springs Regional Airport,33.82219,-116.50431
KAAT,Alturas,41.48362,-120.5615
KACV,"Arcata / Eureka, Arcata Airport",40.97806,-124.10861
KRAL,Riverside Municipal Airport,33.95189,-117.44511
KRBL,"Red Bluff, Red Bluff Municipal Airport",40.15056,-122.25222
KRDD,Redding Municipal Airport,40.51461,-122.2977
KDVO,Novato / Gnoss Field,38.14178,-122.55463
KRHV,San Jose / Reid / Hillv,37.33333,-121.81667
KIZA,"Santa Ynez, Santa Ynez Airport",34.60694,-120.07556
KAPC,"Napa, Napa County Airport",38.2075,-122.27944
KRIV,March Air Reserve Base,33.88194,-117.25902
KCCB,Cable Airport,34.11161,-117.68739
KRNM,"Ramona, Ramona Airport",33.0375,-116.91583
KTCY,Tracy Municipal Airport,37.6889,-121.44158
KO22,COLUMBIA,38.03,-120.42
KO05,Rogers Field Airport,40.28236,-121.24117
KWVI,"Watsonville, Watsonville Municipal Airport",36.93944,-121.78889
KBAB,"Marysville, Beale Air Force Base",39.13333,-121.43333
KPVF,Placerville Airport,38.7242,-120.7533
KLHM,Lincoln Regional Karl Harder Field,38.9092,-121.3513
KF70,Murrieta/Temecula French Valley,33.5742,-117.1285
KAJO,Corona Airport,33.8977,-117.6024
KBFL,"Bakersfield, Meadows Field Airport",35.43361,-119.05667
KMWS,MOUNT WILSON,34.22,-118.07
KBIH,"Bishop, Bishop Airport",37.37111,-118.35806
KSAC,Sacramento Executive Airport,38.50674,-121.49597
KBLH,"Blythe, Blythe Airport",33.61917,-114.71694
KSAN,San Diego International Airport,32.73361,-117.18306
KSBA,"Santa Barbara, Santa Barbara Municipal Airport",34.42611,-119.84361
KC83,Byron,37.8276,-121.6244
KL08,Borrego Valley Airport,33.25903,-116.32097
KBLU,"Emigrant Gap, Blue Canyon Nyack Airport",39.27611,-120.70806
KSBD,San Bernardino Intl. Airport,34.09027,-117.24705
KSBP,"San Luis Obispo, San Luis Obispo County-Mc Chesney Field",35.23611,-120.63611
KSCK,"Stockton, Stockton Metropolitan Airport",37.88972,-121.22361
KSDB,Sandberg,34.74361,-118.72444
KBUR,Burbank - Bob Hope Airport,34.19967,-118.36538
KSDM,"San Diego, Brown Field Municipal Airport",32.57528,-116.99306
MMTJ,Tijuana International Airport,32.55,-116.96667
KL35,Big Bear City Airport,34.2638,-116.856
KSEE,Gillespie Field Airport,32.82738,-116.97369
KO54,Weaverville,40.746,-122.9223
KBYS,"Fort Irwin/Barstow, Bicycle Lake Army Airfield",35.28333,-116.61667
KSFO,"San Francisco, San Francisco International Airport",37.61961,-122.36558
KCCR,"Concord, Buchanan Field",37.99167,-122.05194
KSIY,Montague Siskiyou County Airport,41.77375,-122.46817
KSJC,"San Jose, San Jose International Airport",37.35917,-121.92417
KCEC,"Crescent City, Jack McNamara Field Airport",41.78028,-124.23667
KJAQ,Westover Field - Amador County Airport,38.3768,-120.79391
KBAN,MCMWTC BRIDGEPORT,38.3557,-119.5188
KCIC,Chico Municipal Airport,39.79879,-121.85795
KDWA,Yolo County Airport,38.57939,-121.85694
KCMA,"Camarillo, Camarillo Airport",34.21667,-119.08333
KSLI,Los Alamitos Army Airfield,33.79628,-118.04179
KSMF,Sacramento International Airport,38.70071,-121.59479
KCNO,"Chino, Chino Airport",33.97556,-117.62361
KSMO,"Santa Monica, Santa Monica Municipal Airport",34.01583,-118.45139
KSMX,Santa Maria Public Airport/Capt G Allan Hancock Field,34.89408,-120.45212
KSNA,John Wayne-Orange County Airport,33.6798,-117.8674
KSNS,"Salinas, Salinas Municipal Airport",36.66361,-121.60806
KCRQ,"Carlsbad, McClellan-Palomar Airport",33.13,-117.27583
KSQL,San Carlos Airport,37.51667,-122.25
KSTS,"Santa Rosa, Santa Rosa Sonoma County Airport",38.5,-122.81667
KSUU,Fairfield / Travis Air Force Base,38.26667,-121.95
KSVE,Susanville Municipal Airport,40.37569,-120.57269
KDAG,"Daggett, Barstow-Daggett Airport",34.85361,-116.78667
KTOA,"Torrance, Zamperini Field Airport",33.8,-118.33333
KTRK,Truckee-Tahoe,39.31667,-120.13333
KTVL,"South Lake Tahoe, Lake Tahoe Airport",38.89836,-119.99615
KEDW,Edwards Air Force Base,34.918,-117.879
KEED,"Needles, Needles Airport",34.76611,-114.62333
KEMT,El Monte,34.08333,-118.03333
KUKI,Ukiah Municipal Airport,39.12783,-123.20011
KVBG,Vandenberg Space Force Base,34.72944,-120.57667
KVCB,Vacaville Nut Tree Airport,38.37755,-121.95853
KVIS,"Visalia, Visalia Municipal Airport",36.31667,-119.4
KVNY,"Van Nuys, Van Nuys Airport",34.2125,-118.49083
KFAT,"Fresno, Fresno Air Terminal",36.78,-119.71944
KWJF,General Wm J Fox Airfield,34.74123,-118.21251
KFUL,"Fullerton, Fullerton Municipal Airport",33.87194,-117.98472
KO86,Trinity Center,40.98452,-122.69342
K9L2,Edwards Air Force Auxiliary North Base,34.99083,-117.86317
KHMT,Hemet-Ryan Airport,33.73403,-117.02231
KHHR,"Hawthorne, Hawthorne Municipal Airport",33.92361,-118.33194
KHJO,Hanford Municipal Airport,36.31145,-119.62315
KHWD,"Hayward, Hayward Air Terminal",37.66083,-122.11833
KIPL,"Imperial, Imperial County Airport",32.83417,-115.57861
KEDU,University Airport,38.5315,-121.7865
KO32,Reedley Municipal Airport,36.671,-119.45103
KLAX,"Los Angeles, Los Angeles International Airport",33.93806,-118.38889
KLGB,"Long Beach, Long Beach Airport",33.81167,-118.14639
KAUN,Auburn Municipal Airport,38.95535,-121.08636
KAVX,Avalon Catalina Airport,33.40421,-118.41456
