"New York City/Upton, NY",,KOKX,,NWS,,199,,
"Spokane, WA",,KOTX,,NWS,,"2,448",,
"Paducah, KY",,KPAH,,NWS,,506,,
"Pittsburgh, PA",,KPBZ,,NWS,,"1,266",,
"Pendleton, OR",,KPDT,,NWS,,"1,579",,
"Ft Polk, LA",,KPOE,,DOD,,473,,
"Pueblo, CO",,KPUX,,NWS,,"5,362",,
"Raleigh/Durham, NC",,KRAX,,NWS,,462,,
"Reno, NV",,KRGX,,NWS,,"8,394",,
"Riverton, WY",,KRIW,,NWS,,"5,631",,
"Charleston, WV",,KRLX,,NWS,,"1,213",,
"Portland, OR",,KRTX,,NWS,,"1,728",,
"Pocatello, ID",,KSFX,,NWS,,"4,538",,
"Springfield, MO",,KSGF,,NWS,,"1,375",,
"Shreveport, LA",,KSHV,,NWS,,387,,
"San Angelo, TX",,KSJT,,NWS,,"2,003",,
"Santa Ana Mountains, CA",,KSOX,,NWS,,"3,105",,
"Fort Smith, AR",,KSRX,,NWS,,737,,
"Tampa Bay, FL",,KTBW,,NWS,,122,,
"Great Falls, MT",,KTFX,,NWS,,"3,804",,
"Tallahassee, FL",,KTLH,,NWS,,177,,
"Oklahoma City, OK",,KTLX,,NWS,,"1,277",,
"Topeka, KS",,KTWX,,NWS,,"1,415",,
"Montague/Ft Drum, NY",,KTYX,,DOD,,"1,959",,
"Rapid City, SD",,KUDX,,NWS,,"3,194",,
"Hastings, NE",,KUEX,,NWS,,"2,057",,
"Moody AFB, GA",,KVAX,,DOD,,330,,
"Vandenberg AFB, CA",,KVBX,,DOD,,"1,354",,
"Vance AFB, OK",,KVNX,,DOD,,"1,258",,
"Los Angeles, CA",,KVTX,,NWS,,"2,806",,
"Evansville, IN",,KVWX,,NWS,,625,,
"Yuma, AZ",,KYUX,,NWS,,239,,
"Bethel, AK",,PABC,,FAA,,193,,
"Biorka Island/Sitka, AK",,PACG,,FAA,,272,,
"Nome, AK",,PAEC,,FAA,,90,,
"Anchorage/Kenai, AK",,PAHG,,FAA,,356,,
"Middleton Island, AK",,PAIH,,FAA,,132,,
"King Salmon, AK",,PAKC,,FAA,,144,,
"Fairbanks/Pedro Dome, AK",,PAPD,,FAA,,"2,706",,
"Andersen AFB, Guam",,PGUA,,DOD,,386,,
"South Kauai, HI",,PHKI,,FAA,,340,,
"Kamuela/Kohala, HI",,PHKM,,FAA,,"3,965",,
"Molokai, HI",,PHMO,,FAA,,"1,444",,
"South Shore, HI",,PHWA,,FAA,,"1,461",,
"Kunsan, KO",,RKJK,,DOD,,192,,
"Camp Humphreys, KO",,RKSG,,DOD,,"1,521",,
"Kadena, JP",,RODN,,DOD,,332,,
"San Juan, PR",,TJUA,,FAA,,"2,958",,
